"id_standard_word";"orthographic_word";"geometry_id";"IPA_string";"sampa_string"
3;"isst";100120;"est̰.‿";"est_X.>"
3;"isst";534317;"est̰‿";"est_X>"
3;"isst";124374;"ẹːt";"e_r:t"
3;"isst";81534;"i̜st‿";"i_ost>"
3;"isst";96991;"estʰ";"est_h"
3;"isst";102355;"es";"es"
3;"isst";142682;"ˈɪs̠də‿";"""Is_-d@>"
3;"isst";74385;"ist‿";"ist>"
3;"isst";101114;"istʼ";"ist_>"
3;"isst";141322;"ɪs‿";"Is>"
3;"isst";127805;"iːstʼ";"i:st_>"
3;"isst";98572;"ẹt‿";"e_rt>"
3;"isst";131625;"ɪ̣st‿";"I_rst>"
3;"isst";131639;"ɪ̣st";"I_rst"
3;"isst";101119;"ˈɪʒəd̰";"""IZ@d_X"
3;"isst";95627;"e̠sθ‿";"e_-sT>"
3;"isst";103623;"ɛt͡ʔ";"Et*?"
3;"isst";87273;"ist‿";"ist>"
3;"isst";98052;"ɪ̣st‿";"I_rst>"
3;"isst";105687;"ɛ̣ʔ";"E_r?"
3;"isst";97496;"ˈɪ̣d̰ə̰ʒ̰+ə̣‿";"""I_rd_X@_XZ_X+@_r>"
3;"isst";94091;"est‿";"est>"
3;"isst";71626;"ɪ̣ːst̪‿";"I_r:st_d>"
3;"isst";73067;"ist";"ist"
3;"isst";133243;"ɪ̣st‿";"I_rst>"
3;"isst";139216;"e̠st‿";"e_-st>"
3;"isst";126983;"ˈɛ̜d̪ɛ";"""E_od_dE"
3;"isst";97420;"ɪ̣st‿";"I_rst>"
3;"isst";103353;"etʰ";"et_h"
3;"isst";97293;"ɪ̜st‿";"I_ost>"
3;"isst";123486;"ẹz‿";"e_rz>"
3;"isst";110034;"ɪ̜t‿";"I_ot>"
3;"isst";114506;"ɛth";"Eth"
3;"isst";81382;"iːsθ";"i:sT"
4;"Gänse";109582;"‿klɤ→ɪs̠";"<k7*\Is_-"
4;"Gänse";106665;"‿kœ→ɪz̠";"<k9*\Iz_-"
4;"Gänse";139652;"ˈkɛns̟ə̟";"""kEns_+@_+"
4;"Gänse";112022;"klɤʾ→ʏʂ";"k7_O*\Ys_R"
4;"Gänse";126543;"ˈkɛnz̟ə̟";"""kEnz_+@_+"
4;"Gänse";122070;"kʌ→y̜s‿";"kV*\y_os>"
4;"Gänse";95188;"kɛ̠ns";"kE_-ns"
4;"Gänse";126983;"kø→ʏ̠s";"k2*\Y_-s"
4;"Gänse";142132;"ˈkɛnðə̟̃ʾ";"""kEnD@_+~_O"
4;"Gänse";89340;"ɡe͡ɪ̃ns";"ge*I~ns"
4;"Gänse";102355;"ˈɣøːz̠ə";"""G2:z_-@"
4;"Gänse";81534;"ˈkɛ̣n̰sn̩ / ˈkɛ̣̃n̰sn̩";"""kE_rn_Xsn= / ""kE_r~n_Xsn="
4;"Gänse";534317;"kɛ̣nt̰͡s";"kE_rnt_X*s"
4;"Gänse";127805;"ceːs̠";"ce:s_-"
4;"Gänse";139327;"ˈk̟ɛnz͡sə";"""k_+Enz*s@"
4;"Gänse";71626;"kẽn̰s";"ke~n_Xs"
4;"Gänse";132113;"ɡɛns";"gEns"
4;"Gänse";126340;"ˈklɤʾ→ʏʿθə";"""k7_O*\Y_cT@"
4;"Gänse";82823;"ɡe͡ɪs";"ge*Is"
4;"Gänse";78096;"kɛns";"kEns"
4;"Gänse";77404;"kɛns";"kEns"
4;"Gänse";127102;"ˈjɛns̟ə";"""jEns_+@"
4;"Gänse";103353;"ɣ̟a̠ːnz̠";"G_+a_-:nz_-"
4;"Gänse";138617;"ˈkɛnsə";"""kEns@"
4;"Gänse";107810;"ɡœ→ɪs̠ kɔ̟→ɪ̠s̠";"g9*\Is_- kO_+*\I_-s_-"
4;"Gänse";116468;"ˈɡœ̣→ɪðə";"""g9_r*\ID@"
4;"Gänse";136211;"jɑns";"jAns"
4;"Gänse";141726;"ˈɡɛndðə";"""gEndD@"
4;"Gänse";114116;"‿kø͡ʏs̠";"<k2*Ys_-"
4;"Gänse";137105;"kɛns̟ː";"kEns_+:"
4;"Gänse";96991;"ˈɣɛnzə";"""GEnz@"
4;"Gänse";101114;"kɛns";"kEns"
4;"Gänse";142682;"ˈkɛnsə";"""kEns@"
4;"Gänse";124734;"ˈjɛnzəʾ";"""jEnz@_O"
4;"Gänse";81382;"kẹns";"ke_rns"
4;"Gänse";134656;"jạns̟‿";"ja_rns_+>"
4;"Gänse";107979;"ɡø→ɪ̜z̠ / ˈɣø→ʏz̠͡s̠ə̥";"g2*\I_oz_- / ""G2*\Yz_-*s_-@_0"
4;"Gänse";98052;"ki̜ns";"ki_ons"
4;"Gänse";108461;"ˈɡlɤ→ɪzə";"""g7*\Iz@"
4;"Gänse";109126;"x̟̫ø̣͡ʏ̜s";"x_+_w2_r*Y_os"
4;"Gänse";123486;"ˈjɛ̜nzəʾ / ˈjɛ̜ndz̟ə";"""jE_onz@_O / ""jE_ondz_+@"
4;"Gänse";120233;"‿ɡɑ→ə̠ʾz͡s";"<gA*\@_-_Oz*s"
4;"Gänse";104396;"ˈɣ̟lɤ̟→ɪz̠ə";"""G_+7_+*\Iz_-@"
4;"Gänse";119655;"jæ̣nːd̰s";"j{_rn:d_Xs"
4;"Gänse";139216;"ɡa̠nsː";"ga_-ns:"
4;"Gänse";116270;"kɛns";"kEns"
4;"Gänse";107244;"x̟œ→ɪs";"x_+9*\Is"
4;"Gänse";110034;"ˈɡøːzə";"""g2:z@"
4;"Gänse";124374;"ˈjænzə̟";"""j{nz@_+"
4;"Gänse";80157;"ˈɡ̰͡jɛnsə";"""g_X*jEns@"
4;"Gänse";112854;"ɡlɤʾ→ɪsː";"g7_O*\Is:"
4;"Gänse";121128;"ˈɡe̜nzə";"""ge_onz@"
4;"Gänse";94232;"ˈkɛns͡zə";"""kEns*z@"
4;"Gänse";76974;"kɛns";"kEns"
4;"Gänse";98885;"jæ̜nt̰͡s̠";"j{_ont_X*s_-"
4;"Gänse";137478;"ˈkɛnsə";"""kEns@"
4;"Gänse";122935;"ˈjɛnzə̟";"""jEnz@_+"
4;"Gänse";84354;"kẹnz̟͡s̟";"ke_rnz_+*s_+"
4;"Gänse";92088;"kens";"kens"
4;"Gänse";96934;"k̟ɛnt͡s";"k_+Ent*s"
4;"Gänse";116692;"kœ→ʏʿs̟";"k9*\Y_cs_+"
4;"Gänse";115354;"‿klɤ→ɪs";"<k7*\Is"
4;"Gänse";98997;"ˈkɛ̜ns͡zə";"""kE_ons*z@"
4;"Gänse";124534;"kø̜→ʏs̟";"k2_o*\Ys_+"
4;"Gänse";142692;"ˈkɛnzə";"""kEnz@"
4;"Gänse";142544;"k̟ɛns̠";"k_+Ens_-"
4;"Gänse";71182;"kɛns";"kEns"
4;"Gänse";132787;"kaːnt͡s";"ka:nt*s"
4;"Gänse";105310;"ˈkøːð̠ə";"""k2:D_-@"
4;"Gänse";123878;"‿ɡɐ→ʏ̣s";"<g6*\Y_rs"
4;"Gänse";115080;"ˈɡlɤː→ɪ̠zə";"""g7:*\I_-z@"
4;"Gänse";131034;"ˈɡɛnz̠ə̟";"""gEnz_-@_+"
4;"Gänse";102505;"χæ̜→ɪ̠s";"X{_o*\I_-s"
4;"Gänse";100120;"ˈɣ̟ɛnzə";"""G_+Enz@"
4;"Gänse";96433;"‿ˈɪ→ɛnzə";"<""I*\Enz@"
4;"Gänse";136865;"c̠ʰɛnt̰͡s";"c_-_hEnt_X*s"
4;"Gänse";100376;"ˈjæ̣nz̠ən";"""j{_rnz_-@n"
4;"Gänse";121678;"ˈjɛnzə";"""jEnz@"
4;"Gänse";100418;"kɛ̣ːns";"kE_r:ns"
4;"Gänse";99852;"k̟ɛ̠ns";"k_+E_-ns"
4;"Gänse";93455;"‿k͡x͡ɣɛns";"<k*x*GEns"
4;"Gänse";94235;"kɐ→ɪs";"k6*\Is"
4;"Gänse";74385;"kɛ̃→ɪ̃nt̰͡s";"kE~*\I~nt_X*s"
4;"Gänse";120286;"j̫øːz͡s";"j_w2:z*s"
4;"Gänse";141322;"ˈk͡janz͡sə̤";"""k_janz*s@_t"
4;"Gänse";131625;"kɛnt̰͡s";"kEnt_X*s"
4;"Gänse";98572;"ˈʀ̥̰͡χɐ→ɪðə";"""R\_0_X*X6*\ID@"
4;"Gänse";97293;"kans";"kans"
4;"Gänse";131639;"kɛ̣ns";"kE_rns"
4;"Gänse";101119;"ˈɡɐ→ɪʒ̟ə";"""g6*\IZ_+@"
4;"Gänse";95627;"ka̠ːns";"ka_-:ns"
4;"Gänse";138212;"ˈk̟ɛnd͡zə";"""k_+End*z@"
4;"Gänse";119269;"kœ̠→ʏs";"k9_-*\Ys"
4;"Gänse";117389;"ˈɡe̜nsə";"""ge_ons@"
4;"Gänse";87273;"ɡe͡ɪ̃s";"ge*I~s"
4;"Gänse";106912;"ˈkøːzə";"""k2:z@"
4;"Gänse";142407;"ˈk̟ɛnd͡zə";"""k_+End*z@"
4;"Gänse";122830;"‿ˈɡɔ→ɪʾzə";"<""gO*\I_Oz@"
4;"Gänse";111294;"ɡɛnt̰͡s̠";"gEnt_X*s_-"
4;"Gänse";97496;"ˈχo→ɪʒ̟ə";"""Xo*\IZ_+@"
4;"Gänse";94091;"ˈkɛns͡zə";"""kEns*z@"
4;"Gänse";73067;"k͡ɣe→ɪns";"k*Ge*\Ins"
4;"Gänse";102156;"kɛns ˈk͡ɣlɤʾ→ɪz̠ə";"""k*G7_O*\Iz_-@ kEns"
4;"Gänse";97420;"ˈkɛnt̰͡sə";"""kEnt_X*s@"
4;"Gänse";115632;"ˈɡø̠͡ø̣z̠ə";"""g2_-*2_rz_-@"
4;"Gänse";118882;"ˈjænt͡sn̥̰̩";"""j{nt*sn_0_X="
4;"Gänse";25987;"kɛns";"kEns"
4;"Gänse";142982;"ˈjɛnt͡sə";"""jEnt*s@-"
4;"Gänse";131478;"ɣeːz͡s";"Ge:z*s"
4;"Gänse";120820;"jøː→ə̟ʾz̟";"j2:*\@_+_Oz_+"
4;"Gänse";112823;"ˈkø͡ʏʿz̠ə";"""k2*Y_cz_-@"
4;"Gänse";101005;"ˈkɛ̠nz̠ə";"""kE_-nz_-@"
4;"Gänse";134449;"ˈjɔ̜ːsə";"""jO_o:s@"
4;"Gänse";114506;"ˈɡøːz̠ə̣";"""g2:z_-@_r"
4;"Gänse";140999;"k̟ɛns̠";"k_+Ens_-"
4;"Gänse";118165;"jɛ̜nds";"jE_onds"
4;"Gänse";121905;"kɔʿ→ø̣ʿsː";"kO_c*\2_r_cs:"
4;"Gänse";534378;"‿ˈç̠lɤ̜→ɪzh";"<""C_-7_o*\Izh"
4;"Gänse";103623;"ˈçɔ→ɪz̠ə";"""CO*\Iz_-@"
4;"Gänse";105687;"ˈjɛnz̟ə̤̜̟";"""jEnz_+@_t_o_+"
4;"Gänse";87629;"keː͡ɪ̜nt̰͡s";"ke:*I_ont_X*s"
4;"Gänse";98830;"ˈke̜nzə";"""ke_onz@"
4;"Gänse";103156;"ˈɡøːzə‿";"""g2:z@>"
4;"Gänse";129216;"‿kẽːs";"<ke~:s"
4;"Gänse";90559;"kɛ̃→ɪ̜̃ns";"kE~*\I_o~ns"
4;"Gänse";110821;"ɡœ→ʏs̠";"g9*\Ys_-"
4;"Gänse";103582;"‿ˈʀ̥͡ʁo→ɪz̠ə";"<""R\_0*Ro*\Iz_-@"
4;"Gänse";132665;"ˈkɛnzə̟";"""kEnz@_+"
4;"Gänse";99705;"ɡ͡ɣ̰ɐ→ɪs̟";"g*G_X6*\Is_+"
4;"Gänse";99867;"cɛns";"cEns"
4;"Gänse";93399;"kɛ→ɪns";"kE*\Ins"
