# "Long-form" encoding of the complete PAD data
#
# date   : 2013-11-26 10:07:24
# source : /sources/original_corrected.csv
#
# Each word in the data is put on a separate line, and is given an unique ID in the first column.
# These IDs are also used in the alignment files.
# The column CONCEPT lists the meaning-designation as used in the original data.
# Because this is dialect data, almost all words with the same meaning are also cognate, but not all!
# Also, some cognate words were distinguished in the original data (e.g. "Äpfeln" and "Äpfelchen").
# There were also a few erroneous classifications (e.g. between "recht" and "lauter").
# Some words have been divided into separate cognate sets (e.g. various non-cognate words for "Dienstag").
# The column COUNTERPART lists the actual form as originally transcribed.
# The column CONCEPTID lists the numbers as used in the original data
# The column DOCULECT lists the short name of the village. See /data/doculects.csv for more info on each village.
# The column TOKENS lists a tokenization of the original transcription into phonetic units (according to the transcription!).
# The column COGID lists a separate ID for all words that are actually cognate. These IDs are summarized in the file /data/cognatesets.csv
#
ID	CONCEPT	COUNTERPART	CONCEPTID	DOCULECT	TOKENS	COGID
10433	Affe	ɒːph	69	Breddin	ɒː ph	1004
10434	Affe	ɒf	69	Ottowind	ɒ f	1004
10435	Affe	ɔ̜ve̠	69	Gersdorf	ɔ̜ v e̠	1004
10436	Affe	ɔ̜pʰ	69	Bennin	ɔ̜ pʰ	1004
10437	Affe	ɒ̣f	69	Ramsau(Berch)	ɒ̣ f	1004
10438	Affe	a̠f͡β̫ə̟	69	Dreeke	a̠ f͡β̫ ə̟	1004
10439	Affe	a̠f͡və	69	Wittelsberg	a̠ f͡v ə	1004
10440	Affe	ʌɸə	69	Lampertswalde	ʌ ɸ ə	1004
10441	Affe	‿ɑf	69	Obermaisel	ɑ f	1004
10442	Affe	o̜→ɔ̟phə̣	69	Ahrbergen	o̜→ɔ̟ ph ə̣	1004
10443	Affe	a̠ːph	69	Lippramsdorf	a̠ː ph	1004
10444	Affe	ɤːph̫	69	Rossau	ɤː ph̫	1004
10445	Affe	afː	69	Bempflingen	a fː	1004
10446	Affe	ɑ̟f	69	Kleinbottwar	ɑ̟ f	1004
10447	Affe	ɔfː	69	Eichenhofen	ɔ fː	1004
10448	Affe	ɔʿfə̠̃ʾ	69	Grosswechsungen	ɔʿ f ə̠̃ʾ	1004
10449	Affe	‿ɔʿf	69	Ulbering	ɔʿ f	1004
10450	Affe	o̜ːph	69	Kuhstedt	o̜ː ph	1004
10451	Affe	a̠ʾfə	69	Frohnhausen	a̠ʾ f ə	1004
10452	Affe	ɒːpʰ	69	KirchKogel	ɒː pʰ	1004
10453	Affe	‿ɔf	69	Oberau	ɔ f	1004
10454	Affe	ɔʿf	69	Oberau	ɔʿ f	1004
10455	Affe	ʌ̟və̤	69	Bockelwitz	ʌ̟ v ə̤	1004
10456	Affe	ɔβə	69	Warpe	ɔ β ə	1004
10457	Affe	af	69	Volkershausen	a f	1004
10458	Affe	ʌfɛ̠	69	Schmannewitz	ʌ f ɛ̠	1004
10459	Affe	ɒːph	69	Schönbeck	ɒː ph	1004
10460	Affe	ɔ̜f	69	Clausthal(Zf)	ɔ̜ f	1004
10461	Affe	aːph	69	Haddorf	aː ph	1004
10462	Affe	‿af	69	Horheim	a f	1004
10463	Affe	af	69	Wildpoldsried	a f	1004
10464	Affe	oːph	69	Altwarp	oː ph	1004
10465	Affe	ɤ̜fː	69	Borstendorf	ɤ̜ fː	1004
10466	Affe	‿a̠f	69	Vielbrunn	a̠ f	1004
10467	Affe	af	69	Nürnberg	a f	1004
10468	Affe	a̠ɸ͡βə	69	Huddestorf	a̠ ɸ͡β ə	1004
10469	Affe	ʌf	69	Schauenstein	ʌ f	1004
10470	Affe	ʌʾfə	69	Ballhausen	ʌʾ f ə	1004
10471	Affe	ɒ̣ːph	69	Herzfeld	ɒ̣ː ph	1004
10472	Affe	‿ɔ̜pʰ	69	Grossenwiehe	ɔ̜ pʰ	1004
10473	Affe	‿ɔ̜fː	69	Pöttmes	ɔ̜ fː	1004
10474	Affe	ʌfː	69	Engelsbach	ʌ fː	1004
10475	Affe	ɒ̣fə	69	Wieda	ɒ̣ f ə	1004
10476	Affe	ɑ̟ːbʱə	69	Adorf	ɑ̟ː bʱ ə	1004
10477	Affe	ɔ̜→ʊpʰ	69	Wolgast	ɔ̜→ʊ pʰ	1004
10478	Affe	afɛ̠	69	Atzendorf	a f ɛ̠	1004
10479	Affe	ɑ̟ːphə̜	69	Wüllen	ɑ̟ː ph ə̜	1004
10480	Affe	‿ɔ̣f	69	Langenbruck	ɔ̣ f	1004
10481	Affe	ɤːfə	69	Cursdorf	ɤː f ə	1004
10482	Affe	a̠f	69	Eschelbronn	a̠ f	1004
10483	Affe	ɔʿf	69	Hartenstein	ɔʿ f	1004
10484	Affe	aːpʰə	69	Valdorf	aː pʰ ə	1004
10485	Affe	ɒːph	69	Hammah	ɒː ph	1004
10486	Affe	ɑʾfəʾ	69	Altlandsberg	ɑʾ f əʾ	1004
10487	Affe	ɒf	69	Maibrunn	ɒ f	1004
10488	Affe	ɑ̟ːphə	69	Hesselteich	ɑ̟ː ph ə	1004
10489	Affe	ɑ̟ːph	69	Hohenkörben	ɑ̟ː ph	1004
10490	Affe	ɒɸɛ̠	69	Falkenthal	ɒ ɸ ɛ̠	1004
10491	Affe	ɒːp	69	Falkenthal	ɒː p	1004
10492	Affe	a̠və	69	Gerbstedt	a̠ v ə	1004
10493	Affe	ɑ̣ʾf	69	Oberviehbach	ɑ̣ʾ f	1004
10494	Affe	a̠f	69	Niederauerbach	a̠ f	1004
10495	Affe	ɒ̃f	69	Pielenhofen	ɒ̃ f	1004
10496	Affe	ɒ̣ːph	69	Mirow	ɒ̣ː ph	1004
10497	Affe	ɒ̣ːph	69	Grünow	ɒ̣ː ph	1004
10498	Affe	af	69	Schömberg	a f	1004
10499	Affe	ɑ̟ːpʰə	69	Reelkirchen	ɑ̟ː pʰ ə	1004
10500	Affe	a̠f	69	Niedernhausen	a̠ f	1004
10501	Affe	ɑ̟ːph	69	Leuth	ɑ̟ː ph	1004
