# Names of cognate sets, with indication of the original context
#
# The column COGNATE lists the names as used in the naming of the alignment files.
# The columns COGNATE_ID lists the COGIDs as used in the file "words.csv".
# e.g. /PAD/alignments/corrected/abend_1001.mca is a valid path to an alignment file.
# All COGNATE_IDs starting from 1188 in the file "words.csv" do not have an alignment file
# They occur only incidentally in the data (maximally 12 occurrences for "Zaterdag" and "Pfinztag")
#
# The column NUMBER_OF_WORDS lists how many words are available for in each alignment.
# The column WENKER_ID lists the number of sentence in which this word occurs (cf. http://staff-www.uni-marburg.de/~naeser/wenker.htm).
# The column WENKER_SENTENCE shows the original context in which the words occurred. 
# Note that there are a few words that occur multiple times in the text.
# We have no way to reconstruct which of these occurrences were selected in the phonetic transcription.
# We have chosen one context here to represent each cognate set
# Weekdays and numerals were collected separately, so when not present in the sentences, they are marked as NA.
#
COGNATE	COGNATE_ID	NUMBER_OF_WORDS	WENKER_ID	WENKER_SENTENCE
naehen	1113	119	17	Geh, sei so gut und sag deiner Schwester, sie soll die Kleider für eure Mutter fertig nähen und mit der Bürste rein machen.
neue	1114	188	21	Wem hat er die neue Geschichte erzählt?
neun	1115	185	37	Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.
oben	1116	54	36	Was sitzen da für Vögelchen oben auf dem Mäuerchen?
Ochsen	1117	189	37	Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.
Ofen	1118	186	3	Tu Kohlen in den Ofen, damit die Milch bald zu kochen anfängt.
ohne	1119	191	7	Er isst die Eier immer ohne Salz und Pfeffer.
Ohren	1120	127	11	Ich schlage dich gleich mit dem Kochlöffel um die Ohren, du Affe.
Pfeffer	1121	188	7	Er isst die Eier immer ohne Salz und Pfeffer.
Pfund	1122	185	30	Wieviel Pfund Wurst und wieviel Brot wollt ihr haben?
recht	1123	160	35	Das war recht von ihnen!
rot	1124	236	26	Hinter unserem Hause stehen drei schöne Apfelbäume mit roten Äpfelchen.
Salz	1125	188	7	Er isst die Eier immer ohne Salz und Pfeffer.
Samstag	1126	63	NA	NA
Sonnabend	1142	110	NA	NA
schlechte	1127	182	13	Das /es sind schlechte Zeiten.
Schnee	1128	181	25	Der Schnee ist diese Nacht liegen geblieben, aber heute morgen ist er geschmolzen.
schneien	1129	129	2	Es hört gleich auf zu schneien, dann wird das Wetter wieder besser.
schoene	1130	165	26	Hinter unserem Hause stehen drei schöne Apfelbäume mit roten Äpfelchen.
schwarz	1131	174	6	Das Feuer war zu heiß, die Kuchen sind ja unten ganz schwarz gebrannt.
Schwester	1132	189	17	Geh, sei so gut und sag deiner Schwester, sie soll die Kleider für eure Mutter fertig nähen und mit der Bürste rein machen.
sechs	1133	357	5	Er ist vor vier oder sechs Wochen gestorben.
Seife	1134	197	32	Habt ihr kein Stückchen weiße Seife auf meinem Tisch gefunden?
sein	1135	167	33	Sein Bruder will sich zwei schöne neue Häuser in eurem Garten bauen.
selbst	1136	56	20	Er tat so, als hätten sie ihn zum Dreschen bestellt (; sie haben es aber selbst getan).
sich	1137	122	33	Sein Bruder will sich zwei schöne neue Häuser in eurem Garten bauen.
